Date,Open,High,Low,Close,Color,Percent_Change,Month_Count
2007-01-01,101.19,102.53,99.77,102.26,green,1.32,1
2007-02-01,102.54,104.15,98.88,100.25,red,-3.57,1
2007-03-01,99.12,102.3,97.28,101.01,green,3.21,1
2007-04-01,101.53,106.98,101.04,105.9,green,5.37,1
2007-05-01,106.0,109.9,105.46,109.5,green,3.69,1
2007-06-01,109.9,110.27,105.74,107.43,red,-3.78,1
2007-07-01,108.21,111.55,104.03,104.52,red,-3.86,1
2007-08-01,104.13,108.01,98.26,105.86,green,3.73,1
2007-09-01,105.76,110.73,103.52,109.44,green,4.71,1
2007-10-01,109.97,113.52,107.13,111.45,green,3.22,1
2007-11-01,110.47,110.55,101.37,107.13,red,-8.24,1
2007-12-01,106.79,110.18,103.74,105.37,red,-2.85,1
2008-01-01,106.16,106.49,91.28,99.52,red,-14.01,1
2008-02-01,99.93,101.14,95.43,96.95,red,-4.5,1
2008-03-01,96.46,98.39,91.33,95.61,red,-5.31,1
2008-04-01,97.28,102.36,96.34,100.66,green,5.22,1
2008-05-01,100.75,105.06,100.12,102.18,green,4.28,1
2008-06-01,101.8,102.58,92.49,93.18,red,-9.15,1
2008-07-01,92.57,94.51,87.82,92.8,green,2.09,1
2008-08-01,93.01,96.23,91.29,94.23,green,3.45,1
2008-09-01,95.14,95.64,80.87,84.87,red,-15.0,1
2008-10-01,84.83,85.88,61.51,71.26,red,-27.49,1
2008-11-01,71.22,74.23,54.71,66.3,red,-23.19,1
2008-12-01,64.4,68.02,60.24,66.41,green,5.62,1
2009-01-01,67.1,70.07,59.39,61.45,red,-11.49,1
2009-02-01,60.52,65.09,54.76,54.85,red,-9.51,1
2009-03-01,53.8,61.8,49.78,59.0,green,14.86,1
2009-04-01,58.68,66.52,58.53,65.32,green,13.36,1
2009-05-01,65.34,70.01,64.8,69.14,green,7.16,1
2009-06-01,69.99,71.81,66.39,68.71,red,-5.15,1
2009-07-01,69.39,75.02,65.37,74.25,green,8.11,1
2009-08-01,75.03,78.41,73.72,76.99,green,4.51,1
2009-09-01,76.61,81.2,74.82,79.34,green,5.99,1
2009-10-01,77.77,83.29,77.0,78.19,green,7.1,1
2009-11-01,78.62,84.37,77.83,83.01,green,7.31,1
2009-12-01,83.75,85.34,82.31,84.14,green,1.9,1
2010-01-01,85.3,87.4,81.39,81.52,red,-4.58,1
2010-02-01,82.09,84.7,79.38,84.06,green,3.17,1
2010-03-01,84.41,89.7,84.39,88.81,green,6.27,1
2010-04-01,89.79,93.08,89.25,90.56,green,3.67,1
2010-05-01,90.99,91.98,79.56,83.36,red,-12.56,1
2010-06-01,82.58,86.28,78.42,78.67,red,-5.05,1
2010-07-01,79.0,86.0,77.45,84.45,green,8.86,1
2010-08-01,85.77,86.68,79.87,80.65,red,-6.88,1
2010-09-01,81.74,88.68,81.68,87.4,green,8.49,1
2010-10-01,88.53,92.21,87.14,91.23,green,4.15,1
2010-11-01,91.68,94.66,90.54,91.23,red,-1.24,1
2010-12-01,92.55,97.17,92.54,96.82,green,4.99,1
2011-01-01,98.07,100.89,97.29,99.6,green,2.87,1
2011-02-01,100.2,104.25,100.14,103.06,green,4.04,1
2011-03-01,103.38,103.47,96.96,102.62,red,-6.21,1
2011-04-01,103.71,106.16,100.67,106.05,green,2.37,1
2011-05-01,106.55,106.64,102.13,104.86,red,-4.15,1
2011-06-01,104.56,104.88,98.09,102.59,red,-6.19,1
2011-07-01,103.19,106.01,99.97,101.03,red,-3.12,1
2011-08-01,102.21,102.31,86.14,95.48,red,-15.72,1
2011-09-01,95.53,96.4,86.95,88.39,red,-8.99,1
2011-10-01,88.33,101.63,84.36,98.55,green,15.05,1
2011-11-01,95.82,100.53,91.24,98.15,green,4.91,1
2011-12-01,98.04,99.93,94.25,98.55,green,1.93,1
2012-01-01,100.96,105.42,99.91,103.77,green,4.41,1
2012-02-01,104.54,109.2,104.41,108.28,green,4.46,1
2012-03-01,108.5,112.08,106.17,111.27,green,3.29,1
2012-04-01,111.62,112.87,107.75,111.01,red,-3.47,1
2012-05-01,110.95,112.43,102.82,104.35,red,-7.33,1
2012-06-01,102.71,108.15,100.91,108.02,green,5.3,1
2012-07-01,108.88,111.16,105.79,109.86,green,2.1,1
2012-08-01,110.65,114.16,108.16,112.62,green,3.17,1
2012-09-01,112.52,118.16,111.79,114.86,green,5.01,1
2012-10-01,115.91,118.03,112.6,113.37,red,-2.86,1
2012-11-01,113.61,115.27,108.04,114.01,green,1.46,1
2012-12-01,114.53,116.76,111.92,114.22,red,-2.28,1
2013-01-01,117.21,121.92,116.9,120.92,green,4.02,1
2013-02-01,121.69,123.81,120.14,122.46,green,1.75,1
2013-03-01,122.04,126.69,121.49,126.55,green,3.81,1
2013-04-01,127.05,129.59,124.58,129.55,green,2.0,1
2013-05-01,129.27,137.17,128.27,132.61,green,6.11,1
2013-06-01,132.92,134.67,126.35,130.15,red,-4.94,1
2013-07-01,131.53,138.54,130.68,137.6,green,5.33,1
2013-08-01,138.65,139.45,132.99,133.48,red,-4.08,1
2013-09-01,134.77,141.59,133.52,137.03,green,5.07,1
2013-10-01,137.81,145.49,134.85,144.08,green,5.57,1
2013-11-01,144.27,148.96,143.23,148.35,green,3.26,1
2013-12-01,148.42,151.37,145.33,151.37,green,1.99,1
2014-01-01,151.61,152.4,145.76,146.83,red,-3.86,1
2014-02-01,146.66,154.22,143.15,153.51,green,5.16,1
2014-03-01,152.16,155.76,151.42,154.11,green,2.37,1
2014-04-01,155.29,157.01,150.07,155.86,green,1.11,1
2014-05-01,155.79,159.58,153.96,159.48,green,2.43,1
2014-06-01,159.7,162.72,158.89,162.0,green,1.89,1
2014-07-01,163.17,165.55,160.48,160.58,red,-1.65,1
2014-08-01,160.14,167.01,158.47,166.92,green,4.29,1
2014-09-01,167.14,167.91,163.05,163.85,red,-2.45,1
2014-10-01,164.35,168.63,152.0,168.5,green,2.6,1
2014-11-01,168.71,173.68,167.16,173.12,green,2.95,1
2014-12-01,172.46,177.95,165.32,171.74,red,-4.14,1
2015-01-01,173.39,173.81,166.81,167.57,red,-3.79,1
2015-02-01,168.07,178.31,166.23,176.99,green,6.09,1
2015-03-01,177.09,178.16,171.49,173.43,red,-3.16,1
2015-04-01,174.17,179.31,172.59,175.92,green,2.95,1
2015-05-01,176.71,180.41,174.49,178.18,green,2.09,1
2015-06-01,178.86,180.04,173.24,173.72,red,-3.14,1
2015-07-01,176.16,180.78,173.09,178.51,green,2.62,1
2015-08-01,178.47,179.19,154.68,167.63,red,-13.33,1
2015-09-01,163.77,172.05,158.52,162.5,red,-3.21,1
2015-10-01,163.73,178.53,161.21,177.24,green,9.04,1
2015-11-01,177.58,180.42,172.34,177.89,green,1.6,1
2015-12-01,178.53,179.86,170.34,173.78,red,-4.59,1
2016-01-01,171.92,173.13,155.22,166.11,red,-9.71,1
2016-02-01,165.09,168.65,155.28,165.98,green,2.16,1
2016-03-01,167.22,177.39,166.74,176.23,green,6.08,1
2016-04-01,176.13,181.79,175.05,177.84,green,3.22,1
2016-05-01,178.35,181.6,174.78,180.86,green,1.82,1
2016-06-01,180.24,183.17,171.22,180.55,green,1.63,1
2016-07-01,181.49,188.48,179.4,188.11,green,3.85,1
2016-08-01,188.17,190.26,185.63,188.34,green,1.11,1
2016-09-01,188.33,189.93,183.94,187.4,red,-2.33,1
2016-10-01,187.93,188.7,183.92,185.08,red,-2.14,1
2016-11-01,185.41,193.15,181.45,191.9,green,4.18,1
2016-12-01,192.21,198.83,190.83,194.64,green,3.45,1
2017-01-01,197.11,201.2,196.1,199.29,green,2.08,1
2017-02-01,199.29,207.86,198.67,207.13,green,4.3,1
2017-03-01,208.81,210.5,202.87,206.49,red,-2.84,1
2017-04-01,207.44,210.72,204.54,209.44,green,1.58,1
2017-05-01,209.97,212.96,207.11,212.4,green,1.42,1
2017-06-01,212.86,215.54,211.1,212.72,red,-0.83,1
2017-07-01,214.71,219.23,212.46,218.15,green,2.11,1
2017-08-01,218.76,220.04,213.78,218.78,green,0.59,1
2017-09-01,219.16,222.17,216.54,222.09,green,1.37,1
2017-10-01,223.42,229.11,223.24,228.45,green,2.54,1
2017-11-01,229.24,236.36,227.1,235.43,green,3.1,1
2017-12-01,235.21,238.62,231.66,237.08,green,1.45,1
2018-01-01,239.16,255.94,238.77,251.72,green,7.02,1
2018-02-01,250.98,252.75,225.84,242.57,red,-10.02,1
2018-03-01,242.35,250.39,230.23,234.98,red,-5.0,1
2018-04-01,235.38,243.22,228.31,237.14,green,3.33,1
2018-05-01,236.56,245.87,232.24,242.9,green,3.93,1
2018-06-01,244.22,250.56,240.7,243.21,red,-1.44,1
2018-07-01,242.7,256.09,242.46,253.35,green,5.51,1
2018-08-01,253.55,262.72,251.39,261.43,green,3.62,1
2018-09-01,261.01,264.7,258.19,261.8,green,1.41,1
2018-10-01,264.25,265.24,235.06,244.82,red,-11.04,1
2018-11-01,245.69,254.4,237.98,249.36,green,3.54,1
2018-12-01,253.54,253.65,211.46,226.08,red,-16.6,1
2019-01-01,223.82,246.1,221.71,245.61,green,9.96,1
2019-02-01,245.81,255.96,243.7,253.57,green,4.13,1
2019-03-01,255.17,259.48,247.87,257.03,green,1.69,1
2019-04-01,260.19,269.1,259.91,268.71,green,3.42,1
2019-05-01,269.35,269.56,251.54,251.57,red,-6.61,1
2019-06-01,251.61,270.8,249.58,267.77,green,7.63,1
2019-07-01,272.46,277.55,270.3,273.14,green,1.87,1
2019-08-01,273.3,276.3,258.72,268.57,red,-5.34,1
2019-09-01,266.84,277.92,265.65,272.54,green,4.15,1
2019-10-01,274.69,280.97,262.77,279.85,green,2.29,1
2019-11-01,281.32,291.06,281.15,289.98,green,3.46,1
2019-12-01,290.24,298.73,283.35,296.94,green,2.93,1
2020-01-01,299.96,308.69,297.01,298.28,red,-0.98,1
2020-02-01,299.79,314.37,264.73,274.67,red,-11.69,1
2020-03-01,276.48,290.97,202.35,238.97,red,-26.81,1
2020-04-01,231.26,275.0,227.46,270.89,green,18.91,1
2020-05-01,266.07,286.15,254.58,283.8,green,7.55,1
2020-06-01,283.15,301.6,276.73,287.57,green,6.52,1
2020-07-01,289.97,306.51,289.5,305.84,green,5.7,1
2020-08-01,307.53,329.06,306.98,327.19,green,7.0,1
2020-09-01,328.03,336.03,299.55,313.68,red,-8.68,1
2020-10-01,317.57,332.93,303.38,307.09,red,-4.47,1
2020-11-01,310.53,342.67,307.75,340.49,green,10.35,1
2020-12-01,343.79,355.91,340.46,351.61,green,3.53,1
2021-01-01,354.46,364.41,344.55,349.51,red,-2.8,1
2021-02-01,352.96,372.27,349.8,359.23,green,5.47,1
2021-03-01,364.17,376.0,351.22,374.31,green,3.25,1
2021-04-01,377.5,398.65,377.29,395.4,green,5.6,1
2021-05-01,397.42,400.64,382.8,398.0,green,0.81,1
2021-06-01,400.4,406.28,392.94,405.6,green,1.47,1
2021-07-01,407.7,419.99,401.14,416.86,green,3.01,1
2021-08-01,418.6,430.7,414.57,429.27,green,2.89,1
2021-09-01,430.22,431.63,407.61,407.95,red,-5.25,1
2021-10-01,411.02,438.27,406.61,437.98,green,6.63,1
2021-11-01,438.98,451.6,434.21,434.46,red,-1.09,1
2021-12-01,440.26,456.81,428.12,452.96,green,3.76,1
2022-01-01,455.83,459.35,402.68,430.58,red,-11.66,1
2022-02-01,431.31,438.43,392.99,417.87,red,-8.88,1
2022-03-01,416.35,442.21,397.28,432.23,green,6.21,1
2022-04-01,435.18,439.52,394.76,395.52,red,-9.29,1
2022-05-01,395.59,412.47,365.32,396.41,green,4.27,1
2022-06-01,398.56,400.74,347.68,362.16,red,-12.77,1
2022-07-01,363.06,398.22,357.74,397.22,green,9.69,1
2022-08-01,394.48,416.25,380.88,381.01,red,-3.45,1
2022-09-01,378.8,396.97,344.24,344.37,red,-9.12,1
2022-10-01,349.56,377.1,337.01,373.89,green,7.88,1
2022-11-01,377.7,394.68,357.03,394.68,green,4.5,1
2022-12-01,395.73,397.4,362.82,370.23,red,-8.32,1
2023-01-01,373.82,396.96,367.46,395.32,green,6.19,1
2023-02-01,394.09,406.83,382.84,385.38,red,-2.86,1
2023-03-01,384.56,398.46,370.2,398.15,green,3.61,1
2023-04-01,399.15,406.07,394.2,406.06,green,1.73,1
2023-05-01,405.61,412.55,394.16,407.93,green,1.71,1
2023-06-01,408.17,433.75,406.9,432.76,green,6.27,1
2023-07-01,434.01,450.2,428.27,448.58,green,3.73,1
2023-08-01,447.1,448.06,424.3,441.29,red,-5.1,1
2023-09-01,444.06,444.55,413.8,418.88,red,-6.81,1
2023-10-01,419.52,430.84,402.4,411.24,red,-4.08,1
2023-11-01,412.22,450.69,411.68,448.8,green,9.33,1
2023-12-01,448.18,469.6,446.74,467.4,green,4.78,1
2024-01-01,466.18,485.39,460.52,476.76,green,4.12,1
2024-02-01,478.49,503.67,477.67,501.65,green,5.26,1
2024-03-01,502.53,517.97,498.52,516.45,green,3.07,1
2024-04-01,518.8,519.35,489.12,497.16,red,-5.72,1
2024-05-01,496.57,527.95,494.76,522.31,green,6.32,1
2024-06-01,523.94,545.0,517.58,539.0,green,4.02,1
2024-07-01,542.14,561.54,534.01,547.28,green,3.58,1
2024-08-01,549.03,560.59,507.0,560.07,green,2.1,1
2024-09-01,554.78,571.03,535.99,570.09,green,2.93,1
2024-10-01,571.48,584.15,563.37,566.73,red,-1.42,1
2024-11-01,569.4,601.33,565.99,600.53,green,5.61,1
2024-12-01,600.95,607.03,578.96,584.11,red,-3.66,1
2025-01-01,589.39,610.78,575.35,601.82,green,3.63,1
2025-02-01,592.67,613.23,582.44,594.18,green,3.47,1
2025-03-01,596.18,597.34,555.59,560.58,red,-6.81,1
