Date,Open,High,Low,Close,Color,Month_Count,Percent_Change
2007-01-01,101.19,102.53,99.77,102.26,green,1,1.32
2007-02-01,102.54,104.15,98.88,100.25,red,1,-3.57
2007-03-01,99.12,109.9,97.28,109.5,green,3,10.88
2007-06-01,109.9,111.55,104.03,104.52,red,2,-5.34
2007-08-01,104.13,113.52,98.26,111.45,green,3,9.02
2007-11-01,110.47,110.55,91.28,95.61,red,5,-17.37
2008-04-01,97.28,105.06,96.34,102.18,green,2,8.0
2008-06-01,101.8,102.58,92.49,93.18,red,1,-9.15
2008-07-01,92.57,96.23,87.82,94.23,green,2,3.95
2008-09-01,95.14,95.64,54.71,66.3,red,3,-42.5
2008-12-01,64.4,68.02,60.24,66.41,green,1,5.62
2009-01-01,67.1,70.07,54.76,54.85,red,2,-18.39
2009-03-01,53.8,70.01,49.78,69.14,green,3,30.13
2009-06-01,69.99,71.81,66.39,68.71,red,1,-5.14
2009-07-01,69.39,85.34,65.37,84.14,green,6,22.99
2010-01-01,85.3,87.4,81.39,81.52,red,1,-4.58
2010-02-01,82.09,93.08,79.38,90.56,green,3,13.39
2010-05-01,90.99,91.98,78.42,78.67,red,2,-13.81
2010-07-01,79.0,86.0,77.45,84.45,green,1,8.86
2010-08-01,85.77,86.68,79.87,80.65,red,1,-6.88
2010-09-01,81.74,92.21,81.68,91.23,green,2,12.81
2010-11-01,91.68,94.66,90.54,91.23,red,1,-1.24
2010-12-01,92.55,104.25,92.54,103.06,green,3,12.64
2011-03-01,103.38,103.47,96.96,102.62,red,1,-6.21
2011-04-01,103.71,106.16,100.67,106.05,green,1,2.36
2011-05-01,106.55,106.64,86.14,88.39,red,5,-19.16
2011-10-01,88.33,112.08,84.36,111.27,green,6,26.89
2012-04-01,111.62,112.87,102.82,104.35,red,2,-7.88
2012-06-01,102.71,118.16,100.91,114.86,green,4,15.04
2012-10-01,115.91,118.03,112.6,113.37,red,1,-2.86
2012-11-01,113.61,115.27,108.04,114.01,green,1,1.46
2012-12-01,114.53,116.76,111.92,114.22,red,1,-2.28
2013-01-01,117.21,137.17,116.9,132.61,green,5,17.03
2013-06-01,132.92,134.67,126.35,130.15,red,1,-4.94
2013-07-01,131.53,138.54,130.68,137.6,green,1,5.33
2013-08-01,138.65,139.45,132.99,133.48,red,1,-4.08
2013-09-01,134.77,151.37,133.52,151.37,green,4,12.32
2014-01-01,151.61,152.4,145.76,146.83,red,1,-3.86
2014-02-01,146.66,162.72,143.15,162.0,green,5,10.95
2014-07-01,163.17,165.55,160.48,160.58,red,1,-1.65
2014-08-01,160.14,167.01,158.47,166.92,green,1,4.29
2014-09-01,167.14,167.91,163.05,163.85,red,1,-2.45
2014-10-01,164.35,173.68,152.0,173.12,green,2,5.68
2014-12-01,172.46,177.95,165.32,167.57,red,2,-4.14
2015-02-01,168.07,178.31,166.23,176.99,green,1,6.09
2015-03-01,177.09,178.16,171.49,173.43,red,1,-3.16
2015-04-01,174.17,180.41,172.59,178.18,green,2,3.58
2015-06-01,178.86,180.04,173.24,173.72,red,1,-3.14
2015-07-01,176.16,180.78,173.09,178.51,green,1,2.62
2015-08-01,178.47,179.19,154.68,162.5,red,2,-13.33
2015-10-01,163.73,180.42,161.21,177.89,green,2,10.19
2015-12-01,178.53,179.86,155.22,166.11,red,2,-13.06
2016-02-01,165.09,190.26,155.28,188.34,green,7,15.25
2016-09-01,188.33,189.93,183.92,185.08,red,2,-2.34
2016-11-01,185.41,207.86,181.45,207.13,green,4,12.11
2017-03-01,208.81,210.5,202.87,206.49,red,1,-2.84
2017-04-01,207.44,212.96,204.54,212.4,green,2,2.66
2017-06-01,212.86,215.54,211.1,212.72,red,1,-0.83
2017-07-01,214.71,255.94,212.46,251.72,green,7,19.2
2018-02-01,250.98,252.75,225.84,234.98,red,2,-10.02
2018-04-01,235.38,245.87,228.31,242.9,green,2,4.46
2018-06-01,244.22,250.56,240.7,243.21,red,1,-1.44
2018-07-01,242.7,264.7,242.46,261.8,green,3,9.06
2018-10-01,264.25,265.24,235.06,244.82,red,1,-11.05
2018-11-01,245.69,254.4,237.98,249.36,green,1,3.55
2018-12-01,253.54,253.65,211.46,226.08,red,1,-16.6
2019-01-01,223.82,269.1,221.71,268.71,green,4,20.23
2019-05-01,269.35,269.56,251.54,251.57,red,1,-6.61
2019-06-01,251.61,277.55,249.58,273.14,green,2,10.31
2019-08-01,273.3,276.3,258.72,268.57,red,1,-5.33
2019-09-01,266.84,298.73,262.77,296.94,green,4,11.95
2020-01-01,299.96,314.37,202.35,238.97,red,3,-32.54
2020-04-01,231.26,329.06,227.46,327.19,green,5,42.29
2020-09-01,328.03,336.03,299.55,307.09,red,2,-8.68
2020-11-01,310.53,355.91,307.75,351.61,green,2,14.61
2021-01-01,354.46,364.41,344.55,349.51,red,1,-2.8
2021-02-01,352.96,430.7,349.8,429.27,green,7,22.03
2021-09-01,430.22,431.63,407.61,407.95,red,1,-5.26
2021-10-01,411.02,438.27,406.61,437.98,green,1,6.63
2021-11-01,438.98,451.6,434.21,434.46,red,1,-1.09
2021-12-01,440.26,456.81,428.12,452.96,green,1,3.76
2022-01-01,455.83,459.35,392.99,417.87,red,2,-13.79
2022-03-01,416.35,442.21,397.28,432.23,green,1,6.21
2022-04-01,435.18,439.52,394.76,395.52,red,1,-9.29
2022-05-01,395.59,412.47,365.32,396.41,green,1,4.27
2022-06-01,398.56,400.74,347.68,362.16,red,1,-12.77
2022-07-01,363.06,398.22,357.74,397.22,green,1,9.68
2022-08-01,394.48,416.25,344.24,344.37,red,2,-12.74
2022-10-01,349.56,394.68,337.01,394.68,green,2,12.91
2022-12-01,395.73,397.4,362.82,370.23,red,1,-8.32
2023-01-01,373.82,396.96,367.46,395.32,green,1,6.19
2023-02-01,394.09,406.83,382.84,385.38,red,1,-2.85
2023-03-01,384.56,450.2,370.2,448.58,green,5,17.07
2023-08-01,447.1,448.06,402.4,411.24,red,3,-10.0
2023-11-01,412.22,517.97,411.68,516.45,green,5,25.65
2024-04-01,518.8,519.35,489.12,497.16,red,1,-5.72
2024-05-01,496.57,571.03,494.76,570.09,green,5,14.99
2024-10-01,571.48,584.15,563.37,566.73,red,1,-1.42
2024-11-01,569.4,601.33,565.99,600.53,green,1,5.61
2024-12-01,600.95,607.03,578.96,584.11,red,1,-3.66
2025-01-01,589.39,613.23,575.35,594.18,green,2,4.04
2025-03-01,596.18,597.34,555.59,560.58,red,1,-6.81
